,Year,Content,One line,Five lines
59,1996,"Se publica La Viña
A Spanish-language edition of The Grapevine arrives in the summer of 1996. In the new bimonthly magazine La Viña, articles translated from The Grapevine share space with original material written in Spanish. La Viña is distributed in North America, Latin America, and Spain, and in ensuing years is welcomed by Spanish-speaking A.A.s worldwide.

A Japanese General Service Board
In Tokyo, a General Service Board composed of eight trustees, including two nonalcoholics, starts operating in January 1996. At the time, an estimated 3,500 to 4,000 members are meeting in 290 groups. Japanese A.A. members visit and support Korean groups and vice versa. The handmade card at right, presented by the Kansai district office to a G.S.O. New York staff member visiting Japan, reads “Willingness, honesty, and open-mindedness are the essentials of recovery.”","['In the new bimonthly magazine La Viña, articles translated from The Grapevine share space with original material written in Spanish.']","['Se publica La Viña\nA Spanish-language edition of The Grapevine arrives in the summer of 1996.', 'In the new bimonthly magazine La Viña, articles translated from The Grapevine share space with original material written in Spanish.', 'La Viña is distributed in North America, Latin America, and Spain, and in ensuing years is welcomed by Spanish-speaking A.A.s worldwide.', 'At the time, an estimated 3,500 to 4,000 members are meeting in 290 groups.', 'Japanese A.A. members visit and support Korean groups and vice versa.']"
60,1997,"Support for French Equatorial Africa
A.A. France's sponsorship of African countries begins with a contact between Jean-Yves M. and a Loner from Cameroon, Donatien B., chief warden of a prison and an alcoholic. He achieves sobriety with Jean-Yves's help and determines to carry the message. Jean-Yves and Jean-François L. travel to Cameroon in 1997 and are surprised to find that Donatien has started a prison group that has grown to 54 members. During his stay, Jean-Yves meets with officials, police directors, and members of the clergy. Yearly trips to Africa by A.A. France from 1998 through 2001 will facilitate the launching of groups in Benin, Chad, and Togo. In the photograph, Cameroon villagers greet a visitor from G.S.O. New York with the customary singing and dancing as his traveling companion (foreground), an A.A. from the Douala group, joins in.",['Jean-Yves and Jean-François L. travel to Cameroon in 1997 and are surprised to find that Donatien has started a prison group that has grown to 54 members.'],"[""Support for French Equatorial Africa\nA.A. France's sponsorship of African countries begins with a contact between Jean-Yves M. and a Loner from Cameroon, Donatien B., chief warden of a prison and an alcoholic."", 'Jean-Yves and Jean-François L. travel to Cameroon in 1997 and are surprised to find that Donatien has started a prison group that has grown to 54 members.', 'During his stay, Jean-Yves meets with officials, police directors, and members of the clergy.', 'Yearly trips to Africa by A.A. France from 1998 through 2001 will facilitate the launching of groups in Benin, Chad, and Togo.', 'In the photograph, Cameroon villagers greet a visitor from G.S.O. New York with the customary singing and dancing as his traveling companion (foreground), an A.A. from the Douala group, joins in.']"
61,2000,"Greeting the millennium in Minneapolis
Some 47,000 people celebrate freedom from the bondage of alcoholism at the eleventh International Convention, held in Minneapolis, Minnesota, in the summer of 2000. The theme is “Pass It On–Into the 21st Century.” One memorable event is Walk-the-Walk, in which a stream of attendees from 86 nations walks the blue line laid down from the Convention Center to the Hubert H. Humphrey Metrodome on their way to the opening ceremony. The twenty millionth Big Book is presented to Al-Anon Family Groups in a special ceremony.

Al-Anon's first International Convention
Forty-three years after its founding, Al-Anon holds its first International Convention. The time is July 1998, and the place is Salt Lake City, Utah. As the century draws to an end, 24,000 Al-Anon and 2,300 Alateen groups are meeting in more than 110 countries.

Membership tops two million
As the new millennium begins, A.A.'s worldwide membership is estimated at 2,160,013. Another membership milestone in the year 2000 is the number of groups, which for the first time surpasses the 100,000 mark.

Pole to Pole
Even alcoholics in the most far flung parts of the world — the Arctic Circle and Antarctica — have received the Fellowship's message by the year 2000. With the support of Canadian groups, A.A.s meet in Baffin Island and other far-north locales, while members posted to McMurdo Air Force Base in Antarctica organize meetings for military personnel and others who come and go.

A North American milestone
In April 2000, the 50th General Service Conference is held in New York City. Delegates from 92 A.A. regions and areas in the U.S. and Canada, trustees, directors and G.S.O. and Grapevine staff members listen to reports and inspect finances, just as their counterparts had done half a century before. Conference delegates also tour the new General Service Office in Manhattan's Morningside Heights neighborhood.

Sponsorship Down Under
A.A. Australia, active since 1945, helps A.A.s in Phnom Penh, Cambodia, establish Khmer-speaking groups. The country's service office also assists in the establishment of groups in East Timor, New Guinea, and other Pacific locales. The service office in neighboring New Zealand — which for years has translated A.A. literature into Maori (see Serenity Prayer at right), Fijian, Samoan, and other Pacific island languages — launches an initiative to carry the message to correctional facilities in 32 countries in Oceania and the Pacific Rim.","['The service office in neighboring New Zealand — which for years has translated A.A. literature into Maori (see Serenity Prayer at right), Fijian, Samoan, and other Pacific island languages — launches an initiative to carry the message to correctional facilities in 32 countries in Oceania and the Pacific Rim.']","['As the century draws to an end, 24,000 Al-Anon and 2,300 Alateen groups are meeting in more than 110 countries.', 'Another membership milestone in the year 2000 is the number of groups, which for the first time surpasses the 100,000 mark.', 'With the support of Canadian groups, A.A.s meet in Baffin Island and other far-north locales, while members posted to McMurdo Air Force Base in Antarctica organize meetings for military personnel and others who come and go.', ""The country's service office also assists in the establishment of groups in East Timor, New Guinea, and other Pacific locales."", 'The service office in neighboring New Zealand — which for years has translated A.A. literature into Maori (see Serenity Prayer at right), Fijian, Samoan, and other Pacific island languages — launches an initiative to carry the message to correctional facilities in 32 countries in Oceania and the Pacific Rim.']"
62,2001,"A.A. takes root in China
In August 2001, two G.S.O. New York staff members and Dr. George Vaillant (nonalcoholic trustee) travel to China to meet with medical practitioners and attend meetings of China's three A.A. groups in existence at the time — two in Beijing and one in Changchun. By invitation, Dr. Vaillant addresses a gathering of some 50 physicians on the subject of alcoholism.

First woman chairs General Service Board
In 2001, a woman is elected to chair the General Service Board for the first time: Elaine McDowell, Ph.D. (right), who had served as a Class A (nonalcoholic) trustee for nine years. As chairperson, Dr. McDowell brings more than 28 years of experience in the prevention and treatment fields as well as abiding faith in A.A.'s basic principles.

A.A. at Ground Zero
In the wake of the September 11, 2001, attack on the World Trade Center in New York, exhausted A.A. members among the firefighters, police, and clean-up crews realize the need for A.A. meetings near Ground Zero. At the same time, a Red Cross official reports to G.S.O. New York that many requests for A.A. meetings have been received. The Red Cross then assigns to A.A. a room in a respite center just southwest of the site, its door bearing a circle and triangle. To accommodate everyone, a second room just north is provided. A.A. meetings are organized by Southeast New York Area 49 and New York Intergroup, and the rooms become places where A.A.s can not only meet but also rest, talk, and meditate. Members crafted the iron plaque shown right and presented it to G.S.O. New York and the Intergroup of A.A. as a memento.

The Big Book's Fourth Edition
In November 2001, a new edition of the Big Book — the culmination of four years of development and 25-plus committee meetings — rolls off the presses. While the first 164 pages remain unchanged, the new edition includes the stories of 41 sober alcoholics (24 new stories and 17 “keepers” from the third edition) reaching a wider cross-section of membership by reflecting the breadth of A.A. experiences, ages, beliefs, and ethnicities. G.S.O. New York sends a complimentary copy of the new fourth edition to groups in the U.S. and Canada.","[""A.A. takes root in China\nIn August 2001, two G.S.O. New York staff members and Dr. George Vaillant (nonalcoholic trustee) travel to China to meet with medical practitioners and attend meetings of China's three A.A. groups in existence at the time — two in Beijing and one in Changchun.""]","[""A.A. takes root in China\nIn August 2001, two G.S.O. New York staff members and Dr. George Vaillant (nonalcoholic trustee) travel to China to meet with medical practitioners and attend meetings of China's three A.A. groups in existence at the time — two in Beijing and one in Changchun."", 'A.A. at Ground Zero\nIn the wake of the September 11, 2001, attack on the World Trade Center in New York, exhausted A.A. members among the firefighters, police, and clean-up crews realize the need for A.A. meetings near Ground Zero.', 'At the same time, a Red Cross official reports to G.S.O. New York that many requests for A.A. meetings have been received.', 'A.A. meetings are organized by Southeast New York Area 49 and New York Intergroup, and the rooms become places where A.A.s can not only meet but also rest, talk, and meditate.', 'Members crafted the iron plaque shown right and presented it to G.S.O. New York and the Intergroup of A.A. as a memento.']"
63,2002,"A meeting in Poland
A.A.s from 13 countries travel to Warsaw, Poland in April 2002 for an Eastern European Service Meeting (EESM). Joining delegates from Belarus, Bulgaria, Czech Republic, Estonia, Hungary, Kyrgyzstan, Latvia, Lithuania, Moldova, Poland, Russia, Romania, Slovakia, and Ukraine are guests from Germany and Finland. The meeting is meant to serve as a bridge to World Service Meetings for countries that do not yet participate in them. Since the early 1980s, A.A. Germany had sponsored groups in former East Germany and in Czechoslovakia and Hungary, while Finland provided much support for Russia. In many countries, membership will continue to surge — particularly in Poland and Russia, which in 2004 will have 1,700 and 300 groups respectively. The card to the right is a reproduction of a piece of artwork created by an A.A. member in Warsaw.","['Since the early 1980s, A.A. Germany had sponsored groups in former East Germany and in Czechoslovakia and Hungary, while Finland provided much support for Russia.']","['A meeting in Poland\nA.A.s from 13 countries travel to Warsaw, Poland in April 2002 for an Eastern European Service Meeting (EESM).', 'Joining delegates from Belarus, Bulgaria, Czech Republic, Estonia, Hungary, Kyrgyzstan, Latvia, Lithuania, Moldova, Poland, Russia, Romania, Slovakia, and Ukraine are guests from Germany and Finland.', 'The meeting is meant to serve as a bridge to World Service Meetings for countries that do not yet participate in them.', 'Since the early 1980s, A.A. Germany had sponsored groups in former East Germany and in Czechoslovakia and Hungary, while Finland provided much support for Russia.', 'In many countries, membership will continue to surge — particularly in Poland and Russia, which in 2004 will have 1,700 and 300 groups respectively.']"
64,2003,"Experience, Strength and Hope published
In April 2003, A.A. publishes Experience, Strength and Hope, a collection of the personal stories published in the first, second, and third edition of the Big Book, Alcoholics Anonymous. Now members can read many of the personal stories from A.A.'s early members that had to be dropped to make room for new stories to reflect A.A.'s changing membership over the years. It is a fascinating glimpse into A.A.'s past.

Progress in Sub-Saharan Africa
In June 2003, the first Sub-Saharan Africa Service Meeting is held at the Willow Park Conference Centre (right) near Johannesburg, South Africa. Present are two delegates each from Botswana, Kenya, Lesotho, Malawi, Namibia, South Africa, Tanzania, Uganda, and Zimbabwe, along with representatives from the General Service Offices of Great Britain and U.S./Canada. This zonal meeting is part of the Into Africa initiative, launched by A.A. South Africa in 2000 to improve cooperation with professionals and overcome the problem of A.A. literature distribution in a region with more than 250 languages. A delegate later reports that “Saturday night's family style dinner was filled with laughter and sharing as we expressed our joy in a long day of intense work.”

Success in Latin America
Country-to-country sponsorship, prolific publishing of A.A. literature by Central and South American General Service Offices, and the biannual REDELA (""Meeting of the Americas"") help to carry the Fellowship's message to virtually every country in the Americas. As of 2004, Mexico has some 13,280 groups, Brazil 4,680. Among Central and South American countries with 200 or more groups are Argentina (850), Venezuela (280) Uruguay (248), and Cuba (200); those with 100-plus groups include Chile (147) and Peru (140). In 2003, the REDELA is held in Maracaibo, Venezuela (see poster at right), the thirteenth such meeting since 1979.","['Success in Latin America\nCountry-to-country sponsorship, prolific publishing of A.A. literature by Central and South American General Service Offices, and the biannual REDELA (""Meeting of the Americas"") help to carry the Fellowship\'s message to virtually every country in the Americas.']","['Progress in Sub-Saharan Africa\nIn June 2003, the first Sub-Saharan Africa Service Meeting is held at the Willow Park Conference Centre (right) near Johannesburg, South Africa.', 'Present are two delegates each from Botswana, Kenya, Lesotho, Malawi, Namibia, South Africa, Tanzania, Uganda, and Zimbabwe, along with representatives from the General Service Offices of Great Britain and U.S./Canada.', 'This zonal meeting is part of the Into Africa initiative, launched by A.A. South Africa in 2000 to improve cooperation with professionals and overcome the problem of A.A. literature distribution in a region with more than 250 languages.', 'Success in Latin America\nCountry-to-country sponsorship, prolific publishing of A.A. literature by Central and South American General Service Offices, and the biannual REDELA (""Meeting of the Americas"") help to carry the Fellowship\'s message to virtually every country in the Americas.', 'Among Central and South American countries with 200 or more groups are Argentina (850), Venezuela (280) Uruguay (248), and Cuba (200); those with 100-plus groups include Chile (147) and Peru (140).']"
65,2004,"The A.A. Grapevine celebrates 60 years
In June 2004 the monthly journal of A.A., The A.A. Grapevine, celebrates six decades of continuous publication. Founded by volunteers as an 8-page newsletter for A.A. members in New York City, the Grapevine is now a 64-page international ""meeting in print"" for A.A. members, with a circulation of more than 110,000.

Growth in Mongolia
The first national convention of A.A. in Mongolia takes place in July 2004. It is the result of six years of work. It began when a nonalcoholic physician, Dr. Erdenebager, became interested in A.A. and urged meetings outside of those in treatment facilities in Ulaan Baator. Then, in 1999, two newly sober A.A.s and a physician traveled to Moscow to find ways to make A.A. work in Mongolia. When G.S.O. New York received a request from members for literature in the native language, A.A. World Services aided in the publication of the Big Book in Mongolian (2002). The 25 groups meeting in Mongolia in 2003, by then with the sponsorship of A.A. Japan, jump to 41 in a year. The mountainside structure member is a Buddhist Temple whose monks, friendly to A.A.s efforts, were visited by a G.S.O. staff member.

A new digital archive
Sixty years of Grapevine content becomes available online when the A.A. Grapevine Digital Archive is launched on July 1, 2004. Subscribers are able to access more than 12,000 stories, thousands of published letters, A.A. history in the making — and, yes, countless cartoons and jokes. By selecting Digital Archive on the home page of www.aagrapevine.org, subscribers are able to search for topics by magazine department, theme, date, or keyword.

Stepping Stones made State Historic Site
Acting on a recommendation from the New York State Board of Historic Preservation, the governor signs a declaration in 2004 making Stepping Stones, the Bedford Hills house Bill and Lois called home beginning in 1941, a New York State Historic Site.","['Founded by volunteers as an 8-page newsletter for A.A. members in New York City, the Grapevine is now a 64-page international ""meeting in print"" for A.A. members, with a circulation of more than 110,000.']","['The A.A. Grapevine celebrates 60 years\nIn June 2004 the monthly journal of A.A., The A.A. Grapevine, celebrates six decades of continuous publication.', 'Founded by volunteers as an 8-page newsletter for A.A. members in New York City, the Grapevine is now a 64-page international ""meeting in print"" for A.A. members, with a circulation of more than 110,000.', 'When G.S.O. New York received a request from members for literature in the native language, A.A. World Services aided in the publication of the Big Book in Mongolian (2002).', 'The 25 groups meeting in Mongolia in 2003, by then with the sponsorship of A.A. Japan, jump to 41 in a year.', 'A new digital archive\nSixty years of Grapevine content becomes available online when the A.A. Grapevine Digital Archive is launched on July 1, 2004.']"
66,2005,"A.A.'s 70th birthday in Toronto
Over 44,000 A.A. members congregate in Toronto for the 2005 International Convention to celebrate the 70 years that have brought A.A. from a bond between two sober alcoholics to a worldwide Fellowship of more than 2 million members. The theme is ""I am Responsible,"" reprising the theme of the 1965 International Convention, also held in Toronto, where A.A.'s popular ""Responsibility Declaration"" was first devised.

Twenty-Five Millionth Big Book
The twenty-five millionth copy of the Big Book, Alcoholics Anonymous, is presented to the warden of San Quentin prison, at the International Convention in Toronto. The gift of the book is A.A.'s way of expressing gratitude to that institution's long history of supporting A.A. as a resource for alcoholic inmates. The first A.A. meeting in San Quentin was held in 1941.","['The theme is ""I am Responsible,"" reprising the theme of the 1965 International Convention, also held in Toronto, where A.A.\'s popular ""Responsibility Declaration"" was first devised.']","[""A.A.'s 70th birthday in Toronto\nOver 44,000 A.A. members congregate in Toronto for the 2005 International Convention to celebrate the 70 years that have brought A.A. from a bond between two sober alcoholics to a worldwide Fellowship of more than 2 million members."", 'The theme is ""I am Responsible,"" reprising the theme of the 1965 International Convention, also held in Toronto, where A.A.\'s popular ""Responsibility Declaration"" was first devised.', 'Twenty-Five Millionth Big Book\nThe twenty-five millionth copy of the Big Book, Alcoholics Anonymous, is presented to the warden of San Quentin prison, at the International Convention in Toronto.', ""The gift of the book is A.A.'s way of expressing gratitude to that institution's long history of supporting A.A. as a resource for alcoholic inmates."", 'The first A.A. meeting in San Quentin was held in 1941.']"
67,2006,"La Viña celebrates its 10th anniversary
The magazine La Viña, A.A.'s ""meeting in print"" for Spanish-speaking alcoholics, was first published in 1996. As La Viña celebrates its tenth anniversary in June 2006, the initial circulation of 6,000 has grown to nearly 10,000.

AA Grapevine available in digital audio format
The long-running monthly magazine of A.A., the AA Grapevine, is made available in an audio format with a service called AudioGrapevine in June 2006. Subscribers can download and listen to much of the monthly Grapevine content, including the personal stories of A.A. members sharing their stories.

Celebrating 60 years
South Africa observes 60 years of A.A. held in Johannesburg in November. The event is marked with a mini rally with over 300 people in attendance. A banner at the front of the main stage boldly spells out the theme of the event “From Darkness into Light – AA in SA 1946 -2006.” Among the items on display is a 1947 Big Book owned by Solomon M., who was among the first to help start A.A. in South Africa.","['AA Grapevine available in digital audio format\nThe long-running monthly magazine of A.A., the AA Grapevine, is made available in an audio format with a service called AudioGrapevine in June 2006.']","['La Viña celebrates its 10th anniversary\nThe magazine La Viña, A.A.\'s ""meeting in print"" for Spanish-speaking alcoholics, was first published in 1996.', 'AA Grapevine available in digital audio format\nThe long-running monthly magazine of A.A., the AA Grapevine, is made available in an audio format with a service called AudioGrapevine in June 2006.', 'Subscribers can download and listen to much of the monthly Grapevine content, including the personal stories of A.A. members sharing their stories.', 'Celebrating 60 years\nSouth Africa observes 60 years of A.A. held in Johannesburg in November.', 'Among the items on display is a 1947 Big Book owned by Solomon M., who was among the first to help start A.A. in South Africa.']"
68,2007,"First Zonal Meeting of Central and West Africa
The first Central and Western Africa Zonal Meeting (RACO), sponsored by A.A. France, meets in November. The purpose of the meeting is to carry the message to the still-suffering alcoholic in a range of areas with populations speaking various languages. The first RACO is attended by four French-speaking countries: Burkina Faso, Mali, Senegal, and Chad. At the conclusion of this first meeting, the delegates vote to continue RACO every two years with a representation of two delegates per country.","['At the conclusion of this first meeting, the delegates vote to continue RACO every two years with a representation of two delegates per country.']","['First Zonal Meeting of Central and West Africa\nThe first Central and Western Africa Zonal Meeting (RACO), sponsored by A.A. France, meets in November.', 'The purpose of the meeting is to carry the message to the still-suffering alcoholic in a range of areas with populations speaking various languages.', 'The first RACO is attended by four French-speaking countries: Burkina Faso, Mali, Senegal, and Chad.', 'At the conclusion of this first meeting, the delegates vote to continue RACO every two years with a representation of two delegates per country.']"
69,2008,"Spanish Big Book published
A new, third edition of the Spanish Big Book – Alcohólicos Anonimios – is published by A.A. World Services. This third edition includes 32 new recovery stories, three stories translated from the first edition English-language Big Book, and 12 stories carried over from the previous Spanish edition.","['Spanish Big Book published\nA new, third edition of the Spanish Big Book – Alcohólicos Anonimios – is published by A.A. World Services.']","Spanish Big Book published
A new, third edition of the Spanish Big Book – Alcohólicos Anonimios – is published by A.A. World Services. This third edition includes 32 new recovery stories, three stories translated from the first edition English-language Big Book, and 12 stories carried over from the previous Spanish edition."
70,2009,"Co-founders honored
Bill and Dr. Bob are inducted into The Extra Mile Volunteer Pathway founded by the Points of Light Institute. This organization, located in Washington, D.C., honors individuals who pioneered volunteer movements and who serve as positive role models.

A.A.’s Big Book Hits another Milestone
The 70th publication anniversary of the Big Book, Alcoholics Anonymous, is marked in April 2009. Now in its fourth edition, it is expected that the 30 millionth copy will be published sometime that year. Available in 58 languages, including American Sign Language and Braille, multiple prints and audio formats, A.A.’s basic text has carried the message of hope and recovery around the world.

A milestone anniversary for Oregon’s State Prison group
Thirty-five men and women of Alcoholics Anonymous gather outside Oregon State Penitentiary (OSP), Oregon’s only maximum security prison, to celebrate the 65th anniversary meeting of the Mill Creek Group of Alcoholics Anonymous. The first meeting of the Mill Creek Group at OSP was held May 30, 1944.","['The first meeting of the Mill Creek Group at OSP was held May 30, 1944.']","['Co-founders honored\nBill and Dr. Bob are inducted into The Extra Mile Volunteer Pathway founded by the Points of Light Institute.', 'This organization, located in Washington, D.C., honors individuals who pioneered volunteer movements and who serve as positive role models.', 'A.A.’s Big Book Hits another Milestone\nThe 70th publication anniversary of the Big Book, Alcoholics Anonymous, is marked in April 2009.', 'A milestone anniversary for Oregon’s State Prison group\nThirty-five men and women of Alcoholics Anonymous gather outside Oregon State Penitentiary (OSP), Oregon’s only maximum security prison, to celebrate the 65th anniversary meeting of the Mill Creek Group of Alcoholics Anonymous.', 'The first meeting of the Mill Creek Group at OSP was held May 30, 1944.']"
71,2010,"“A Vision For You”
A.A. members and guests from around the world celebrate A.A.’s 75th year in San Antonio, Texas, with the theme “A Vision for You.” Marathon meetings begin at midnight on Thursday, July 1, and run around the clock until Sunday morning, when the closing meeting takes place in the Alamodome.

A Milestone Presentation
The 30 millionth copy of the Big Book, Alcoholics Anonymous, is presented to the American Medical Association, which in 1956 formally declared alcoholism an illness. The book is accepted by Rebecca Patchin, M.D., immediate past president of the AMA.

","['The book is accepted by Rebecca Patchin, M.D., immediate past president of the AMA.']","['A Milestone Presentation\nThe 30 millionth copy of the Big Book, Alcoholics Anonymous, is presented to the American Medical Association, which in 1956 formally declared alcoholism an illness.', 'The book is accepted by Rebecca Patchin, M.D., immediate past president of the AMA.']"
72,2011,"An Anniversary Celebration
The A.A. French Audio Internet Group – Vivre Sans Alcool (Living Sober) – celebrates its fifth anniversary online in February 2011. The group has more than 70 French-speaking A.A. members from over a dozen countries, including Belgium, Canada, Morocco, Brazil, India, Australia and the United States.

Thailand’s First Round-up
Under the theme “How It Works,” the first annual Thai Round Up is held in Bangkok, Thailand in October 2011. The majority of attendees are Thai A.A. members, and the workshops and meetings are conducted in Thai, with some English translations for English-speaking travelers and members who also attended. English-speaking meetings have been held in Thailand since 1971.

First Eastern Arctic A.A. Convention
Iqaluit, the capital of Nunavut, is selected as the location to host the first Eastern Arctic A.A. Convention. The two-day convention begins on June 24th with a ceremonial lighting of the Qulliq (an Inuit lamp) and welcoming remarks from the mayor of Iqaluit. Featured speakers from both A.A. and Al-Anon address the crowd, sharing in Inuktitut, the native language of the Inuits.

","['First Eastern Arctic A.A. Convention\nIqaluit, the capital of Nunavut, is selected as the location to host the first Eastern Arctic A.A. Convention.']","['An Anniversary Celebration\nThe A.A. French Audio Internet Group – Vivre Sans Alcool (Living Sober) – celebrates its fifth anniversary online in February 2011.', 'The group has more than 70 French-speaking A.A. members from over a dozen countries, including Belgium, Canada, Morocco, Brazil, India, Australia and the United States.', 'The majority of attendees are Thai A.A. members, and the workshops and meetings are conducted in Thai, with some English translations for English-speaking travelers and members who also attended.', 'First Eastern Arctic A.A. Convention\nIqaluit, the capital of Nunavut, is selected as the location to host the first Eastern Arctic A.A. Convention.', 'Featured speakers from both A.A. and Al-Anon address the crowd, sharing in Inuktitut, the native language of the Inuits.']"
73,2012,"Eastern Canada’s First Service Assembly
The historic first meeting of the Canadian Eastern Regional Alcoholics Anonymous Service Assembly (CERAASA) meets in southwest Quebec (Area 87), February, 2013. The Service Assembly is sponsored by the ten areas of the Eastern Canada Region, covering New Brunswick, Prince Edward Island, Nova Scotia, Newfoundland and Labrador, Ontario and Quebec.

Half-century of A.A. in Barbados
“Barbados Comes of Age” is the theme selected for the 50th Anniversary celebration of A.A. Barbados, in March 2012. The convention is attended by more than 166 participants.

India Experiences an Explosion of Interest
In July 2012, a popular Indian television personality hosts an investigative series, with one episode titled “Alcohol Abuse – Think Before You Drink” on the topic of alcoholism. The show features interviews with recovering alcoholics, including one of India’s Class A (nonalcoholic) trustees. The result is an overwhelming flood of inquiries. In the days following the show, A.A. centers across India answer more than 90,000 calls and over 700 letters. The chairman of India’s A.A. Public Information committee notes, “It seems that at last A.A. in India has found its own Jack Alexander.”

22nd World Service Meeting
The 22nd World Service Meeting (WSM) meets October 2012 in Rye Brook, New York. Sixty-one delegates attend from 32 countries, as well as A.A. entities, such as Flemish-speaking Belgium, Northern and Southern Zones of Central America, and German-speaking and French-speaking Europe. The theme is “Rotation: The Heartbeat of A.A.”

The First Spanish PSA
In 2011, the General Service Conference approves the development of a Spanish-language Public Service Announcement (PSA), the first of its kind. Titled “Tengo Esperanza,” the PSA begins to air on Spanish-language TV in November 2012.","['The theme is “Rotation: The Heartbeat of A.A.”\n\nThe First Spanish PSA\nIn 2011, the General Service Conference approves the development of a Spanish-language Public Service Announcement (PSA), the first of its kind.']","['Eastern Canada’s First Service Assembly\nThe historic first meeting of the Canadian Eastern Regional Alcoholics Anonymous Service Assembly (CERAASA) meets in southwest Quebec (Area 87), February, 2013.', 'The Service Assembly is sponsored by the ten areas of the Eastern Canada Region, covering New Brunswick, Prince Edward Island, Nova Scotia, Newfoundland and Labrador, Ontario and Quebec.', 'In the days following the show, A.A. centers across India answer more than 90,000 calls and over 700 letters.', 'The chairman of India’s A.A. Public Information committee notes, “It seems that at last A.A. in India has found its own Jack Alexander.”', 'The theme is “Rotation: The Heartbeat of A.A.”\n\nThe First Spanish PSA\nIn 2011, the General Service Conference approves the development of a Spanish-language Public Service Announcement (PSA), the first of its kind.']"
74,2013,"French Big Book Celebrates 50 Years
March 2013 marks 50 years since the Big Book was first published in French.","[French Big Book Celebrates 50 Years
March 2013 marks 50 years since the Big Book was first published in French.]","French Big Book Celebrates 50 Years
March 2013 marks 50 years since the Big Book was first published in French."
75,2014,"Happy Anniversary, Quebec!
Seventy years ago, Alcoholics Anonymous found its way to Quebec when Dave B. found sobriety in 1944. The occasion is observed at the bilingual convention of Southwest Quebec (Area 87).

Big Book Turns 75
April 2014 marks the 75th publication of Alcoholics Anonymous. In celebration, a replica copy of the First Edition, first printing of A.A.’s Big Book is made available by A.A.W.S.

23rd World Service Meeting
Delegates representing A.A. the world over, from Japan to South Africa, from Australia to Finland, gather October 2014, in Warsaw, Poland for the 23rd World Service Meeting. Much of the discussion is centered on the theme “The Three Legacies: Vital for All Generations.”",['Big Book Turns 75\nApril 2014 marks the 75th publication of Alcoholics Anonymous.'],"['Happy Anniversary, Quebec!', 'Seventy years ago, Alcoholics Anonymous found its way to Quebec when Dave B. found sobriety in 1944.', 'The occasion is observed at the bilingual convention of Southwest Quebec (Area 87).', 'Big Book Turns 75\nApril 2014 marks the 75th publication of Alcoholics Anonymous.', 'In celebration, a replica copy of the First Edition, first printing of A.A.’s Big Book is made available by A.A.W.S.\n\n23rd World Service Meeting\nDelegates representing A.A. the world over, from Japan to South Africa, from Australia to Finland, gather October 2014, in Warsaw, Poland for the 23rd World Service Meeting.']"
